num_layers,hidden_size,learning_rate,num_epochs,RMSE

1,16,1e-05,50,0.8803613443199764
1,16,1e-05,100,0.340467002079868
1,16,1e-05,150,0.3310682130824404
1,16,1e-05,200,0.32719348198815457
1,16,1e-05,250,0.32488632414904695
1,16,1e-05,300,0.32337914184554356
1,16,1e-05,350,0.322335403286242
1,16,1e-05,400,0.3215801810064529
1,16,1e-05,450,0.3210132307648933
1,16,1e-05,500,0.32057518771018145
1,16,1e-05,550,0.3202278909354836
1,16,1e-05,600,0.31994675480162116

1,16,5e-05,50,0.3583713074272038
1,16,5e-05,100,0.3279064563295047
1,16,5e-05,150,0.3220651176223373
1,16,5e-05,200,0.32028659855395236
1,16,5e-05,250,0.3195061769418194
1,16,5e-05,300,0.3190912131411431
1,16,5e-05,350,0.3188441745164874
1,16,5e-05,400,0.31868662718425
1,16,5e-05,450,0.31857995424807695
1,16,5e-05,500,0.3185039964077842
1,16,5e-05,550,0.3184471945367884
1,16,5e-05,600,0.31840288999886696

1,16,0.0001,50,0.33741946804904277
1,16,0.0001,100,0.3251268011099716
1,16,0.0001,150,0.322394743975564
1,16,0.0001,200,0.3209875251315734
1,16,0.0001,250,0.32010833700070135
1,16,0.0001,300,0.31952423703581834
1,16,0.0001,350,0.31913053106736256
1,16,0.0001,400,0.3188697141346057
1,16,0.0001,450,0.3187011569131106
1,16,0.0001,500,0.31858943747332696
1,16,0.0001,550,0.3185133883276324
1,16,0.0001,600,0.31846166500310447

1,16,0.0003,50,0.3297706164768762
1,16,0.0003,100,0.32904308037182256
1,16,0.0003,150,0.336166359326262
1,16,0.0003,200,0.3294952369824695
1,16,0.0003,250,0.32493719677068084
1,16,0.0003,300,0.3224297770111181
1,16,0.0003,350,0.3209218184438903
1,16,0.0003,400,0.3200506791760915
1,16,0.0003,450,0.3194891186011879
1,16,0.0003,500,0.31911631273278684
1,16,0.0003,550,0.31888571916550756
1,16,0.0003,600,0.3187679290403998

1,16,0.0005,50,0.339282932350757
1,16,0.0005,100,0.3302752115212141
1,16,0.0005,150,0.32566692761468014
1,16,0.0005,200,0.3239930642799964
1,16,0.0005,250,0.32710804476398025
1,16,0.0005,300,0.33656323729481247
1,16,0.0005,350,0.33288573099660207
1,16,0.0005,400,0.3295433407225424
1,16,0.0005,450,0.32686055740484676
1,16,0.0005,500,0.3246092111194624
1,16,0.0005,550,0.32346012801106905
1,16,0.0005,600,0.32280348773499673

1,16,0.001,50,0.3465511997296524
1,16,0.001,100,0.34798634320625244
1,16,0.001,150,0.32719686349042243
1,16,0.001,200,0.3233478177630354
1,16,0.001,250,0.3242375816483352
1,16,0.001,300,0.3348487465931123
1,16,0.001,350,0.32660324444820776
1,16,0.001,400,0.32526497767691365
1,16,0.001,450,0.3264451966120601
1,16,0.001,500,0.3249115837395377
1,16,0.001,550,0.3246080634943316
1,16,0.001,600,0.3242799287548354

1,32,1e-05,50,0.3868696130429899
1,32,1e-05,100,0.3309466317873799
1,32,1e-05,150,0.32729099640675435
1,32,1e-05,200,0.32537669487452037
1,32,1e-05,250,0.32413814875644564
1,32,1e-05,300,0.3232548414444563
1,32,1e-05,350,0.32258504585275366
1,32,1e-05,400,0.3220559218171829
1,32,1e-05,450,0.321624974483188
1,32,1e-05,500,0.3212659299923321
1,32,1e-05,550,0.32096184065279704
1,32,1e-05,600,0.32070049187233235

1,32,5e-05,50,0.32093263700416885
1,32,5e-05,100,0.32156015107953123
1,32,5e-05,150,0.3205659026807454
1,32,5e-05,200,0.3198248593855404
1,32,5e-05,250,0.31927550324369053
1,32,5e-05,300,0.318885368698981
1,32,5e-05,350,0.3186197444831035
1,32,5e-05,400,0.3184493470164148
1,32,5e-05,450,0.31834764985567665
1,32,5e-05,500,0.3182916276613556
1,32,5e-05,550,0.3182751479802257
1,32,5e-05,600,0.31828163227475953

1,32,0.0001,50,0.34203540653092346
1,32,0.0001,100,0.3375789770686337
1,32,0.0001,150,0.3314589223950369
1,32,0.0001,200,0.32833415132185095
1,32,0.0001,250,0.32585412955240717
1,32,0.0001,300,0.3239037235674891
1,32,0.0001,350,0.3227068568114423
1,32,0.0001,400,0.3217980200183832
1,32,0.0001,450,0.32121759564804364
1,32,0.0001,500,0.32085127991894685
1,32,0.0001,550,0.32059796336437957
1,32,0.0001,600,0.32038692447113115

1,32,0.0003,50,0.38322498519716264
1,32,0.0003,100,0.34718301260286033
1,32,0.0003,150,0.33341322130299633
1,32,0.0003,200,0.32762615567730863
1,32,0.0003,250,0.3252411314615056
1,32,0.0003,300,0.32605990469544793
1,32,0.0003,350,0.33195691117991183
1,32,0.0003,400,0.3361500023586381
1,32,0.0003,450,0.33209797805761027
1,32,0.0003,500,0.3294752246626098
1,32,0.0003,550,0.32812597637939506
1,32,0.0003,600,0.32635821656020464

1,32,0.0005,50,0.36512783352941797
1,32,0.0005,100,0.3295466076784378
1,32,0.0005,150,0.3253652569612349
1,32,0.0005,200,0.32928815809774287
1,32,0.0005,250,0.3373187965044297
1,32,0.0005,300,0.33470713617474884
1,32,0.0005,350,0.32928747930731933
1,32,0.0005,400,0.32465737328815586
1,32,0.0005,450,0.32177945079895065
1,32,0.0005,500,0.32058862089379925
1,32,0.0005,550,0.32027714231776727
1,32,0.0005,600,0.32025427405388646

1,32,0.001,50,0.3420711506781786
1,32,0.001,100,0.3212110894383866
1,32,0.001,150,0.37428328449415815
1,32,0.001,200,0.3478819403859003
1,32,0.001,250,0.3347075034645348
1,32,0.001,300,0.3270428387465421
1,32,0.001,350,0.32390767996546443
1,32,0.001,400,0.3251830777452836
1,32,0.001,450,0.3250549975957649
1,32,0.001,500,0.324265591558303
1,32,0.001,550,0.324845374902842
1,32,0.001,600,0.32823868326216243

1,64,1e-05,50,0.3339724064517309
1,64,1e-05,100,0.3222842586794503
1,64,1e-05,150,0.3195091267880594
1,64,1e-05,200,0.31853936378955566
1,64,1e-05,250,0.3181279985702482
1,64,1e-05,300,0.3179322519373532
1,64,1e-05,350,0.31783301481353676
1,64,1e-05,400,0.3177810049064502
1,64,1e-05,450,0.31775329094569926
1,64,1e-05,500,0.31773864752600783
1,64,1e-05,550,0.317730792090815
1,64,1e-05,600,0.3177267822266366

1,64,5e-05,50,0.3344675328217316
1,64,5e-05,100,0.33265586892424653
1,64,5e-05,150,0.32755054415082735
1,64,5e-05,200,0.3236190235835568
1,64,5e-05,250,0.3215243512834548
1,64,5e-05,300,0.3203828432021303
1,64,5e-05,350,0.3196157926531949
1,64,5e-05,400,0.31911295066944223
1,64,5e-05,450,0.3188001237989877
1,64,5e-05,500,0.3186196158714833
1,64,5e-05,550,0.31853157488195316
1,64,5e-05,600,0.3185065812601707

1,64,0.0001,50,0.39167841968081996
1,64,0.0001,100,0.35602580427828046
1,64,0.0001,150,0.3375024715968866
1,64,0.0001,200,0.3300339144380733
1,64,0.0001,250,0.32723587917231167
1,64,0.0001,300,0.3281223887385052
1,64,0.0001,350,0.3374966104655131
1,64,0.0001,400,0.336056987449068
1,64,0.0001,450,0.3327996170881652
1,64,0.0001,500,0.3301603790364413
1,64,0.0001,550,0.3277933056378504
1,64,0.0001,600,0.32587018022751796

1,64,0.0003,50,0.32615940275730787
1,64,0.0003,100,0.3534014712486287
1,64,0.0003,150,0.3279841211432568
1,64,0.0003,200,0.3252516460025196
1,64,0.0003,250,0.33095065032219634
1,64,0.0003,300,0.33422044586849964
1,64,0.0003,350,0.3286137913874256
1,64,0.0003,400,0.32509522143500963
1,64,0.0003,450,0.32333099666509807
1,64,0.0003,500,0.32156564234615287
1,64,0.0003,550,0.32003437155665193
1,64,0.0003,600,0.31961445226485213

1,64,0.0005,50,0.35017375039281906
1,64,0.0005,100,0.39027425277757677
1,64,0.0005,150,0.3622365100802445
1,64,0.0005,200,0.3422837304971253
1,64,0.0005,250,0.3290320303160698
1,64,0.0005,300,0.32476371327769654
1,64,0.0005,350,0.32415017011650643
1,64,0.0005,400,0.3297861602469703
1,64,0.0005,450,0.33876837573235136
1,64,0.0005,500,0.336204223317574
1,64,0.0005,550,0.3312404077868479
1,64,0.0005,600,0.3266885400138489

1,64,0.001,50,0.3242163140998243
1,64,0.001,100,0.3316123339264824
1,64,0.001,150,0.3207323648781237
1,64,0.001,200,0.371989884782494
1,64,0.001,250,0.35732609867457354
1,64,0.001,300,0.3357338176968911
1,64,0.001,350,0.3320786161857501
1,64,0.001,400,0.3256428248382998
1,64,0.001,450,0.32527191817770695
1,64,0.001,500,0.3244265040079479
1,64,0.001,550,0.32607697345476017
1,64,0.001,600,0.3261895888766554

2,16,1e-05,50,0.5214357960680122
2,16,1e-05,100,0.3265481480269221
2,16,1e-05,150,0.3212647936157019
2,16,1e-05,200,0.31956439930548936
2,16,1e-05,250,0.3188350026539302
2,16,1e-05,300,0.318461980842652
2,16,1e-05,350,0.31825201880675485
2,16,1e-05,400,0.3181267221737696
2,16,1e-05,450,0.31804976591081524
2,16,1e-05,500,0.3180019970507263
2,16,1e-05,550,0.31797283788579234
2,16,1e-05,600,0.3179556738486827

2,16,5e-05,50,0.3270555506689084
2,16,5e-05,100,0.32168471257744014
2,16,5e-05,150,0.32015654791487186
2,16,5e-05,200,0.31946861940396354
2,16,5e-05,250,0.3190897304523457
2,16,5e-05,300,0.3188506822895205
2,16,5e-05,350,0.31868583229662495
2,16,5e-05,400,0.31856477582289605
2,16,5e-05,450,0.31847124533002724
2,16,5e-05,500,0.3183966187766928
2,16,5e-05,550,0.31833531575476093
2,16,5e-05,600,0.3182838443955616

2,16,0.0001,50,0.3311334476912611
2,16,0.0001,100,0.3246602304331925
2,16,0.0001,150,0.32139744423397265
2,16,0.0001,200,0.3197863257870262
2,16,0.0001,250,0.3190127379144828
2,16,0.0001,300,0.3186548418232965
2,16,0.0001,350,0.3184575590604814
2,16,0.0001,400,0.3183221268657751
2,16,0.0001,450,0.31824020776569506
2,16,0.0001,500,0.31818716388011015
2,16,0.0001,550,0.3181576704175847
2,16,0.0001,600,0.31815085573928137

2,16,0.0003,50,0.3740076803767699
2,16,0.0003,100,0.3444589651490446
2,16,0.0003,150,0.3336080583813781
2,16,0.0003,200,0.32845305891414234
2,16,0.0003,250,0.3262108876544968
2,16,0.0003,300,0.32482056891449596
2,16,0.0003,350,0.3240551708242386
2,16,0.0003,400,0.3245981134143612
2,16,0.0003,450,0.3280734975450049
2,16,0.0003,500,0.33776992229574954
2,16,0.0003,550,0.33851414959900966
2,16,0.0003,600,0.33349724430092414

2,16,0.0005,50,0.3514752279678247
2,16,0.0005,100,0.3306522793143413
2,16,0.0005,150,0.3201353699860127
2,16,0.0005,200,0.31822524726481066
2,16,0.0005,250,0.31765911106635636
2,16,0.0005,300,0.3180712466739789
2,16,0.0005,350,0.31836994130204826
2,16,0.0005,400,0.31860173835112526
2,16,0.0005,450,0.3193134334929122
2,16,0.0005,500,0.3201885914140783
2,16,0.0005,550,0.3210391316054898
2,16,0.0005,600,0.32216914495581245

2,16,0.001,50,0.33033512200417553
2,16,0.001,100,0.3830792218002126
2,16,0.001,150,0.34805754742598305
2,16,0.001,200,0.32510026338860537
2,16,0.001,250,0.3224608899029258
2,16,0.001,300,0.32237030409934936
2,16,0.001,350,0.32309326475346634
2,16,0.001,400,0.3243789392022648
2,16,0.001,450,0.32343821041747867
2,16,0.001,500,0.3231698730344771
2,16,0.001,550,0.32446072063194015
2,16,0.001,600,0.32846161061504153

2,32,1e-05,50,0.3287681226122855
2,32,1e-05,100,0.32150013492189844
2,32,1e-05,150,0.3199901936377048
2,32,1e-05,200,0.31924264460837765
2,32,1e-05,250,0.3188383910160519
2,32,1e-05,300,0.3186092215425362
2,32,1e-05,350,0.3184749767835282
2,32,1e-05,400,0.31839251199524327
2,32,1e-05,450,0.3183389551833847
2,32,1e-05,500,0.31830191532515123
2,32,1e-05,550,0.3182740126298669
2,32,1e-05,600,0.3182516793478673

2,32,5e-05,50,0.33226316991527316
2,32,5e-05,100,0.3272361296227067
2,32,5e-05,150,0.32342906517050574
2,32,5e-05,200,0.32103563882729175
2,32,5e-05,250,0.3197650883882383
2,32,5e-05,300,0.3191323637622649
2,32,5e-05,350,0.3187715284706732
2,32,5e-05,400,0.31859692095366043
2,32,5e-05,450,0.318553198571763
2,32,5e-05,500,0.31859701449605227
2,32,5e-05,550,0.3186945058161428
2,32,5e-05,600,0.31883302804008684

2,32,0.0001,50,0.3268626772744147
2,32,0.0001,100,0.3302515578734958
2,32,0.0001,150,0.3266735558833555
2,32,0.0001,200,0.3241722579161692
2,32,0.0001,250,0.3230224853866207
2,32,0.0001,300,0.3231505526283989
2,32,0.0001,350,0.32621081913518923
2,32,0.0001,400,0.33276558621500324
2,32,0.0001,450,0.3362137966803399
2,32,0.0001,500,0.33476278154730177
2,32,0.0001,550,0.3324845977672026
2,32,0.0001,600,0.32993725586578826

2,32,0.0003,50,0.3271838496386211
2,32,0.0003,100,0.3886800602189999
2,32,0.0003,150,0.34410511444160513
2,32,0.0003,200,0.33083492625587296
2,32,0.0003,250,0.3267045725004464
2,32,0.0003,300,0.323982819350394
2,32,0.0003,350,0.3280294937831037
2,32,0.0003,400,0.34375340286651335
2,32,0.0003,450,0.33766496432602683
2,32,0.0003,500,0.32606835921267535
2,32,0.0003,550,0.3214924872708613
2,32,0.0003,600,0.3207812717027095

2,32,0.0005,50,0.3279569627007594
2,32,0.0005,100,0.3881710986159684
2,32,0.0005,150,0.34851878035005657
2,32,0.0005,200,0.3269872467575513
2,32,0.0005,250,0.32526094616291246
2,32,0.0005,300,0.3238860917063734
2,32,0.0005,350,0.32050010955499214
2,32,0.0005,400,0.32141561827407444
2,32,0.0005,450,0.32198162858915097
2,32,0.0005,500,0.32390333252553005
2,32,0.0005,550,0.32638211812556056
2,32,0.0005,600,0.33201033582454903

2,32,0.001,50,0.3286590997685358
2,32,0.001,100,0.3497620148139065
2,32,0.001,150,0.36558171448060395
2,32,0.001,200,0.3547278217469334
2,32,0.001,250,0.3476896484277079
2,32,0.001,300,0.3436148009155231
2,32,0.001,350,0.3288598120700942
2,32,0.001,400,0.32596359912838996
2,32,0.001,450,0.32257243492557036
2,32,0.001,500,0.32468414225966996
2,32,0.001,550,0.330091397170992
2,32,0.001,600,0.3318666274420889

2,64,1e-05,50,0.3204867772760949
2,64,1e-05,100,0.317928443809708
2,64,1e-05,150,0.31787521898724885
2,64,1e-05,200,0.31792075711156553
2,64,1e-05,250,0.31795534578980295
2,64,1e-05,300,0.3179794806466965
2,64,1e-05,350,0.31799925580477456
2,64,1e-05,400,0.3180177997557297
2,64,1e-05,450,0.3180363426254306
2,64,1e-05,500,0.31805532949741294
2,64,1e-05,550,0.3180754747231145
2,64,1e-05,600,0.31809677808245784

2,64,5e-05,50,0.3378538651949693
2,64,5e-05,100,0.3247539744467973
2,64,5e-05,150,0.3233303860197399
2,64,5e-05,200,0.3345504558881676
2,64,5e-05,250,0.33050458772378016
2,64,5e-05,300,0.3262271948403859
2,64,5e-05,350,0.32330652386126973
2,64,5e-05,400,0.3213710738216362
2,64,5e-05,450,0.32013865149308285
2,64,5e-05,500,0.31934005547997674
2,64,5e-05,550,0.3188696323550127
2,64,5e-05,600,0.31862059799526726

2,64,0.0001,50,0.3254200270650626
2,64,0.0001,100,0.3878295243343545
2,64,0.0001,150,0.3537791834544193
2,64,0.0001,200,0.33141172617659836
2,64,0.0001,250,0.32439683136947656
2,64,0.0001,300,0.32246794851850247
2,64,0.0001,350,0.3230685663840029
2,64,0.0001,400,0.3283442718278066
2,64,0.0001,450,0.338435334844171
2,64,0.0001,500,0.3375333319205027
2,64,0.0001,550,0.3362692148894316
2,64,0.0001,600,0.33527679676345024

2,64,0.0003,50,0.33528461887879696
2,64,0.0003,100,0.33520982354146817
2,64,0.0003,150,0.3821448518003246
2,64,0.0003,200,0.3815146848507102
2,64,0.0003,250,0.3613988446286326
2,64,0.0003,300,0.35074337795202964
2,64,0.0003,350,0.33955152597639177
2,64,0.0003,400,0.3331033116664734
2,64,0.0003,450,0.3284445863861226
2,64,0.0003,500,0.32553668047160206
2,64,0.0003,550,0.3269038524439485
2,64,0.0003,600,0.3360096055648883

2,64,0.0005,50,0.33605026969413565
2,64,0.0005,100,0.374244206464591
2,64,0.0005,150,0.3541008967684228
2,64,0.0005,200,0.3398457011901265
2,64,0.0005,250,0.32726975653966595
2,64,0.0005,300,0.3240249353228183
2,64,0.0005,350,0.3236523011716129
2,64,0.0005,400,0.32926006631807314
2,64,0.0005,450,0.3328919642684915
2,64,0.0005,500,0.3325536097066089
2,64,0.0005,550,0.325963633414029
2,64,0.0005,600,0.3223781158168006

2,64,0.001,50,0.3246512802563206
2,64,0.001,100,0.31976600874358896
2,64,0.001,150,0.35410800850119833
2,64,0.001,200,0.34641030819812413
2,64,0.001,250,0.3286596665088283
2,64,0.001,300,0.3288072350941009
2,64,0.001,350,0.3260103385344936
2,64,0.001,400,0.326514834708118
2,64,0.001,450,0.3343819265450343
2,64,0.001,500,0.3316871879968637
2,64,0.001,550,0.33531893847524336
2,64,0.001,600,0.329641482228643

3,16,1e-05,50,0.360955061216971
3,16,1e-05,100,0.3193090585018042
3,16,1e-05,150,0.3191155072416704
3,16,1e-05,200,0.31897405949192403
3,16,1e-05,250,0.3188574235947741
3,16,1e-05,300,0.31875799533689814
3,16,1e-05,350,0.3186724007338676
3,16,1e-05,400,0.31859833577940294
3,16,1e-05,450,0.318533761876742
3,16,1e-05,500,0.31847725774454483
3,16,1e-05,550,0.3184273653036738
3,16,1e-05,600,0.31838321011489684

3,16,5e-05,50,0.31891207314482406
3,16,5e-05,100,0.31829656671778117
3,16,5e-05,150,0.3182196515289786
3,16,5e-05,200,0.31820652808887406
3,16,5e-05,250,0.3182068441816604
3,16,5e-05,300,0.31821032118158704
3,16,5e-05,350,0.3182170409323665
3,16,5e-05,400,0.31822599647720184
3,16,5e-05,450,0.318235045418806
3,16,5e-05,500,0.318243262992775
3,16,5e-05,550,0.31825114089509604
3,16,5e-05,600,0.3182601071855653

3,16,0.0001,50,0.32960501176758594
3,16,0.0001,100,0.3252609232564401
3,16,0.0001,150,0.3211065777074909
3,16,0.0001,200,0.31912228964683026
3,16,0.0001,250,0.31810645137439997
3,16,0.0001,300,0.31772985411542454
3,16,0.0001,350,0.31763958447708285
3,16,0.0001,400,0.31770322618392366
3,16,0.0001,450,0.3178474311986745
3,16,0.0001,500,0.318044026530026
3,16,0.0001,550,0.31827128543152866
3,16,0.0001,600,0.318501037252375

3,16,0.0003,50,0.3600398630681904
3,16,0.0003,100,0.32501914719886205
3,16,0.0003,150,0.32631713236786863
3,16,0.0003,200,0.3297529255098796
3,16,0.0003,250,0.32765680925196927
3,16,0.0003,300,0.32565153041326533
3,16,0.0003,350,0.32349011688892687
3,16,0.0003,400,0.32228966825556515
3,16,0.0003,450,0.3213384526561859
3,16,0.0003,500,0.32110711137208464
3,16,0.0003,550,0.3211285268323359
3,16,0.0003,600,0.3210662022489125

3,16,0.0005,50,0.3185476553752956
3,16,0.0005,100,0.3452682885395551
3,16,0.0005,150,0.32459050432387376
3,16,0.0005,200,0.322674185967876
3,16,0.0005,250,0.3315447215959509
3,16,0.0005,300,0.3300573466606018
3,16,0.0005,350,0.32531956999367356
3,16,0.0005,400,0.3232876495015546
3,16,0.0005,450,0.3229209594543771
3,16,0.0005,500,0.32380281908576425
3,16,0.0005,550,0.32558919061730107
3,16,0.0005,600,0.3266178097953601

3,16,0.001,50,0.33086575543625435
3,16,0.001,100,0.35116719167469745
3,16,0.001,150,0.33753211786953047
3,16,0.001,200,0.33342296418501427
3,16,0.001,250,0.3250453477180071
3,16,0.001,300,0.324099380855475
3,16,0.001,350,0.32686223278677345
3,16,0.001,400,0.3338292637293825
3,16,0.001,450,0.3346448469008323
3,16,0.001,500,0.3281801041245759
3,16,0.001,550,0.3279561902822185
3,16,0.001,600,0.33121894879825087

3,32,1e-05,50,0.321393990122889
3,32,1e-05,100,0.3192840440681444
3,32,1e-05,150,0.3186926121568223
3,32,1e-05,200,0.31847360819907666
3,32,1e-05,250,0.3183791265620883
3,32,1e-05,300,0.3183353508619882
3,32,1e-05,350,0.3183111376580626
3,32,1e-05,400,0.31829332473914934
3,32,1e-05,450,0.3182775825322901
3,32,1e-05,500,0.31826332609245395
3,32,1e-05,550,0.31825056732483764

